name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
Joe &amp; The Juice (67 Spring Street),https://www.ubereats.com/store/joe-%26-the-juice-67-spring-street/A_hoV6xzSdGJ8PFXZ4Lj_A,"['Cafe', 'Healthy', 'Juice and Smoothies']",4.9,387,$$,40.7226223,-73.9973863,,10012,67 Spring Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10012', 'addressCountry': 'US', 'streetAddress': '67 Spring Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.7226223, 'longitude': -73.9973863}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '387'}","Joe &amp; The Juice (67 Spring Street), 67 Spring Street, New York, NY, 10012"
The Butcher's Daughter - West Village,https://www.ubereats.com/store/the-butchers-daughter-west-village/v-eqHAjMS6W8SfkELruzJQ,"['Vegetarian', 'Vegan', 'Healthy', 'Breakfast and Brunch', 'Family Friendly', 'Group Friendly']",4.7,165,$,40.7363432,-74.0061423,19173882132,10014,581 Hudson St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10014', 'addressCountry': 'US', 'streetAddress': '581 Hudson St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7363432, 'longitude': -74.0061423}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '165'}","The Butcher's Daughter - West Village, 581 Hudson St, New York, NY, 10014"
Dimes Deli,https://www.ubereats.com/store/dimes-deli/Kvfh0z0rS8OdsEoW4WA1Dg,"['Sandwich', 'Juice and Smoothies', 'Coffee and Tea']",4.9,84,$$,40.7143583,-73.9907962,12122409410,10002,143 Division St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '19:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10002', 'addressCountry': 'US', 'streetAddress': '143 Division St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7143583, 'longitude': -73.9907962}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '84'}","Dimes Deli , 143 Division St, New York, NY, 10002"
Spring Cafe NYC,https://www.ubereats.com/store/spring-cafe-nyc/MvWopoSrQ6WKr3XNiw-DLQ,"['Vegan', 'Burgers', 'Vegetarian', 'Healthy']",4.9,100,$,40.7179139,-74.0002788,12122269669,10013,153d Centre St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '19:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '153d Centre St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7179139, 'longitude': -74.0002788}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Spring Cafe NYC, 153d Centre St, New York, NY, 10013"
Essen Fast Slow Food -Soho,https://www.ubereats.com/store/essen-fast-slow-food-soho/V-NSM0RuVOOIRtm_o5oYbg,"['Rolls', 'Cafe']",,,"",40.72664,-74.00518,12124624500,10013,160 Varick Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '160 Varick Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.72664, 'longitude': -74.00518}",{},"Essen Fast Slow Food -Soho, 160 Varick Street, New York, NY, 10013"
The Bean - Astor Place,https://www.ubereats.com/store/the-bean-astor-place/qD0bpKPRT_a2cYx74G9q9w,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",5,19,$,40.7300104,-73.98955,19172614364,10003,31 3rd Avenue,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '7:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '7:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '31 3rd Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.7300104, 'longitude': -73.98955}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '19'}","The Bean - Astor Place, 31 3rd Avenue, New York, NY, 10003"
Starbucks (Chambers and West Broadway),https://www.ubereats.com/store/starbucks-chambers-and-west-broadway/Z66-u4kKS_qXZuR2dSiTvA,"['Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery']",4.9,147,$,40.7155353,-74.0089381,12127916368,10013,125 Chambers Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '125 Chambers Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.7155353, 'longitude': -74.0089381}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '147'}","Starbucks (Chambers and West Broadway), 125 Chambers Street, New York, NY, 10013"
Pret a Manger  (319 Broadway),https://www.ubereats.com/store/pret-a-manger-319-broadway/DqPrx-efQn6oMtzeZygKKQ,"['Bakery', 'Breakfast &amp; Brunch', 'Cafe', 'Sandwich', 'Sandwiches', 'Coffee and Tea', 'Salads', 'Pastry', 'Salads', 'Chicken', 'Fast Food', 'Comfort Food', 'Healthy', 'Snacks']",4.9,18,$,40.71589,-74.00505,,10007,319 Broadway,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10007', 'addressCountry': 'US', 'streetAddress': '319 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 40.71589, 'longitude': -74.00505}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '18'}","Pret a Manger  (319 Broadway), 319 Broadway, New York, NY, 10007"
AQUA BOIL,https://www.ubereats.com/store/aqua-boil/ihy1WochTOC3qDi07DEVFQ,"['Sandwich', 'Group Friendly', 'Cajun', 'American', 'Comfort Food']",4.6,176,"",40.7636579,-73.9885157,12124647428,10019,750 9th Ave,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10019', 'addressCountry': 'US', 'streetAddress': '750 9th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.7636579, 'longitude': -73.9885157}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '176'}","AQUA BOIL, 750 9th Ave, New York, NY, 10019"
Cafe aroma,https://www.ubereats.com/store/cafe-aroma/IxBh5WyCTXallUFJtK6c4g,"['Breakfast and Brunch', 'Desserts', 'Sandwiches']",,,"",40.75591,-73.994069,19179223734,10018,502 9th Avenue,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10018', 'addressCountry': 'US', 'streetAddress': '502 9th Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.75591, 'longitude': -73.994069}",{},"Cafe aroma, 502 9th Avenue, New York, NY, 10018"
