name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
Emerald City Smoothie Tukwila,https://www.ubereats.com/store/emerald-city-smoothie-tukwila/-BK6aOYBSeqq5haWicuRqg,"['Healthy', 'Juice and Smoothies']",4.8,65,$,47.4497643,-122.2633397,12532774648,98188,17139 Southcenter Pkwy,Tukwila,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tukwila', 'addressRegion': 'WA', 'postalCode': '98188', 'addressCountry': 'US', 'streetAddress': '17139 Southcenter Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 47.4497643, 'longitude': -122.2633397}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '65'}","Emerald City Smoothie Tukwila, 17139 Southcenter Pkwy, Tukwila, WA, 98188"
Natalie's on Alki,https://www.ubereats.com/store/natalies-on-alki/Zc9Di9VkSqyquYrUjkaFEQ,"['Juice and Smoothies', 'Bubble Tea', 'Vietnamese']",4.9,38,"",47.58061,-122.40641,12064159944,98116,2532 Alki Avenue Southwest,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98116', 'addressCountry': 'US', 'streetAddress': '2532 Alki Avenue Southwest'}","{'@type': 'GeoCoordinates', 'latitude': 47.58061, 'longitude': -122.40641}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '38'}","Natalie's on Alki, 2532 Alki Avenue Southwest, Seattle, WA, 98116"
Vegan Bowls For All - Downtown Seattle,https://www.ubereats.com/store/vegan-bowls-for-all-downtown-seattle/LFtT8hs3XD2ZXidWhB54Og,"['Vegan', 'Vegetarian', 'Bowls', 'Healthy', 'Salads', 'American', 'Group Friendly']",4.8,79,$$,47.60985,-122.33671,,98101,1427 4th Avenue,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98101', 'addressCountry': 'US', 'streetAddress': '1427 4th Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 47.60985, 'longitude': -122.33671}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '79'}","Vegan Bowls For All - Downtown Seattle, 1427 4th Avenue, Seattle, WA, 98101"
Blossom Vegetarian,https://www.ubereats.com/store/blossom-vegetarian/LofZUoB2T4u4dXXp2SEG1w,"['Vegetarian', 'Asian', 'Healthy']",4.8,27,$$,47.4793635,-122.2084773,14254301610,98057,305 Burnett Ave S,Renton,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Renton', 'addressRegion': 'WA', 'postalCode': '98057', 'addressCountry': 'US', 'streetAddress': '305 Burnett Ave S'}","{'@type': 'GeoCoordinates', 'latitude': 47.4793635, 'longitude': -122.2084773}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '27'}","Blossom Vegetarian, 305 Burnett Ave S, Renton, WA, 98057"
Ephesus Restaurant,https://www.ubereats.com/store/ephesus-restaurant/nHYEAnKtSD-aTKZu5L5JvA,"['Mediterranean', 'Greek', 'Vegetarian', 'Healthy']",4.3,40,$,47.5551457,-122.3874169,14048253232,98136,5245 California Ave SW,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98136', 'addressCountry': 'US', 'streetAddress': '5245 California Ave SW'}","{'@type': 'GeoCoordinates', 'latitude': 47.5551457, 'longitude': -122.3874169}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '40'}","Ephesus Restaurant, 5245 California Ave SW, Seattle, WA, 98136"
Purple Dot Cafe,https://www.ubereats.com/store/purple-dot-cafe/_EdsmIO9SAi28UGF-ywLPQ,"['Chinese', 'Exclusive to Eats', 'Group Friendly']",4.6,135,$$,47.5978452,-122.3254079,12066220288,98104,515 Maynard Ave S,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '11:0', 'closes': '0:35'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '0:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '0:35'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98104', 'addressCountry': 'US', 'streetAddress': '515 Maynard Ave S'}","{'@type': 'GeoCoordinates', 'latitude': 47.5978452, 'longitude': -122.3254079}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '135'}","Purple Dot Cafe, 515 Maynard Ave S, Seattle, WA, 98104"
Can Bar (17th Ave),https://www.ubereats.com/store/can-bar-17th-ave/I-A3JJQzTgSNKUh2r7jovg,"['Sandwiches', 'American', 'Healthy', 'Exclusive to Eats']",4.7,82,$,47.5183441,-122.3567589,12068873040,98106,9427 17th Ave Southwest,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:15', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98106', 'addressCountry': 'US', 'streetAddress': '9427 17th Ave Southwest'}","{'@type': 'GeoCoordinates', 'latitude': 47.5183441, 'longitude': -122.3567589}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '82'}","Can Bar (17th Ave), 9427 17th Ave Southwest, Seattle, WA, 98106"
Ocha Thai,https://www.ubereats.com/store/ocha-thai/c3s5AxHsSvSPApBtj4E-kQ,"['Thai', 'Vegetarian', 'Healthy', 'Family Friendly', 'Group Friendly']",4.7,200,$$,47.47896,-122.204636,14255244661,98057,317 Main Ave S,Renton,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Renton', 'addressRegion': 'WA', 'postalCode': '98057', 'addressCountry': 'US', 'streetAddress': '317 Main Ave S'}","{'@type': 'GeoCoordinates', 'latitude': 47.47896, 'longitude': -122.204636}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '200'}","Ocha Thai, 317 Main Ave S, Renton, WA, 98057"
Wah Kue Cafe,https://www.ubereats.com/store/wah-kue-cafe/dh4C0diDR72Aublg67LB5w,"['Chinese', 'Asian', 'Asian Fusion']",4.5,16,$,47.4818431,-122.333571,12062425454,98168,13434 1st Ave S,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98168', 'addressCountry': 'US', 'streetAddress': '13434 1st Ave S'}","{'@type': 'GeoCoordinates', 'latitude': 47.4818431, 'longitude': -122.333571}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '16'}","Wah Kue Cafe, 13434 1st Ave S, Seattle, WA, 98168"
Timeless Tea (Seattle),https://www.ubereats.com/store/timeless-tea-seattle/5qGobsxSTQKelMtggusC9Q,"['Asian', 'Desserts', 'Juice and Smoothies', 'Allergy Friendly']",4.7,139,$,47.6652084,-122.3170894,13608896666,98105,1000 NE 50th St,Seattle,WA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Seattle', 'addressRegion': 'WA', 'postalCode': '98105', 'addressCountry': 'US', 'streetAddress': '1000 NE 50th St'}","{'@type': 'GeoCoordinates', 'latitude': 47.6652084, 'longitude': -122.3170894}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '139'}","Timeless Tea (Seattle), 1000 NE 50th St, Seattle, WA, 98105"
