name,link
24-hours,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/24-hours
acai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/acai
afghan,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/afghan
african,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/african
alcohol,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/alcohol
allergy-friendly,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/allergy-friendly
american,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/american
appetizers,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/appetizers
arabian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/arabian
armenian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/armenian
asian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/asian
asian-fusion,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/asian-fusion
australian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/australian
bacon,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bacon
bakery,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bakery
bangladeshi,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bangladeshi
bar-food,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bar-food
bbq,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bbq
beef,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/beef
belgian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/belgian
bento,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bento
biryani,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/biryani
bistro,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bistro
brazilian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/brazilian
bread,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/bread
breakfast-and-brunch,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/breakfast-and-brunch
british,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/british
